X1	X2	X3	X4	X5	X6	normal_mean	GC_content	position
ptg000011l	0	100000	24.658	70.6303101	0.43751	0.2378807399884364	43.751	1
ptg000011l	100000	200000	7.942	87.877037	0.45358	0.40337673385683315	45.358	2
ptg000011l	200000	300000	4.06	106.6512299	0.44674	0.5835299728498213	44.674	3
ptg000011l	300000	400000	8.437	114.2873688	0.44467	0.6568047689256277	44.467	4
ptg000011l	400000	500000	5.455	111.5537415	0.45105	0.6305734515572706	45.105000000000004	5
ptg000011l	500000	600000	1.847	104.3440933	0.44139	0.5613911712777298	44.139	6
ptg000011l	600000	700000	10.05	114.9143829	0.43621	0.662821465441475	43.620999999999995	7
ptg000011l	700000	800000	3.626	107.9239807	0.43454	0.5957430240458019	43.454	8
ptg000011l	800000	900000	11.929	99.2181473	0.44269	0.5122036626736634	44.269	9
ptg000011l	900000	1000000	1.56	110.1665268	0.43379	0.6172620286527107	43.379	10
ptg000011l	1000000	1100000	3.85	115.1720963	0.4293	0.6652944294718965	42.93	11
ptg000011l	1100000	1200000	3.287	113.1685486	0.42749	0.6460688036591378	42.748999999999995	12
ptg000011l	1200000	1300000	6.088	104.6408081	0.433	0.5642383846073188	43.3	13
ptg000011l	1300000	1400000	14.394	103.7309494	0.4306	0.5555075703079222	43.059999999999995	14
ptg000011l	1400000	1500000	18.798	125.4621201	0.44345	0.7640353514789852	44.345	15
ptg000011l	1500000	1600000	8.643	108.6158371	0.43937	0.6023819337471094	43.937	16
ptg000011l	1600000	1700000	3.574	96.9948425	0.43305	0.4908692935680462	43.305	17
ptg000011l	1700000	1800000	4.366	109.6172791	0.43993	0.6119915622901089	43.993	18
ptg000011l	1800000	1900000	15.29	106.4066315	0.43587	0.5811828576237653	43.586999999999996	19
ptg000011l	1900000	2000000	3.68	99.1955795	0.43402	0.5119871067722405	43.402	20
ptg000011l	2000000	2100000	6.128	103.8159866	0.42999	0.5563235695413644	42.998999999999995	21
ptg000011l	2100000	2200000	5.423	104.9333801	0.43153	0.567045844492247	43.153000000000006	22
ptg000011l	2200000	2300000	11.474	113.7659988	0.43991	0.6518018111572662	43.991	23
ptg000011l	2300000	2400000	6.185	110.9903336	0.4159	0.6251671068691196	41.589999999999996	24
ptg000011l	2400000	2500000	9.185	99.9411926	0.43022	0.5191418545537337	43.022	25
ptg000011l	2500000	2600000	18.847	94.6095886	0.42065	0.4679808946795028	42.065000000000005	26
ptg000011l	2600000	2700000	6.753	112.1702499	0.41729	0.6364893375672831	41.729	27
ptg000011l	2700000	2800000	18.352	105.5765076	0.41927	0.573217161833429	41.927	28
ptg000011l	2800000	2900000	14.396	103.4195328	0.42616	0.5525192815721554	42.616	29
ptg000011l	2900000	3000000	16.143	100.4660568	0.43369	0.5241783419364465	43.369	30
ptg000011l	3000000	3100000	8.123	113.8221664	0.43159	0.6523407837309667	43.159	31
ptg000011l	3100000	3200000	17.364	93.8128815	0.39806	0.46033585953161593	39.806000000000004	32
ptg000011l	3200000	3300000	5.925	105.4225388	0.41242	0.5717397093447063	41.242000000000004	33
ptg000011l	3300000	3400000	3.744	98.5218811	0.42742	0.5055224374513881	42.742000000000004	34
ptg000011l	3400000	3500000	6.337	111.2298813	0.42723	0.6274657566314922	42.723	35
ptg000011l	3500000	3600000	6.531	94.1108932	0.42808	0.463195517643087	42.808	36
ptg000011l	3600000	3700000	7.099	103.3969193	0.43197	0.552302287143065	43.197	37
ptg000011l	3700000	3800000	5.038	80.6177979	0.41953	0.3337185896449696	41.953	38
ptg000011l	3800000	3900000	10.164	99.0275116	0.43175	0.510374362260824	43.175000000000004	39
ptg000011l	3900000	4000000	7.266	101.2257233	0.41559	0.5314679432129662	41.559000000000005	40
ptg000011l	4000000	4100000	3.299	126.9598389	0.45979	0.7784071486772919	45.979	41
ptg000011l	4100000	4200000	10.491	109.2221832	0.41413	0.608200304446058	41.413	42
ptg000011l	4200000	4300000	7.378	94.0036087	0.4199	0.46216603795936945	41.99	43
ptg000011l	4300000	4400000	9.3	103.2484818	0.42393	0.5508779118553784	42.393	44
ptg000011l	4400000	4500000	10.43	104.8972321	0.4221	0.566698975824294	42.21	45
ptg000011l	4500000	4600000	8.669	88.7659531	0.42561	0.41190658733500934	42.561	46
ptg000011l	4600000	4700000	31.89	120.4604111	0.43468	0.7160399952125445	43.468	47
ptg000011l	4700000	4800000	10.694	108.1490784	0.41991	0.5979030146222741	41.991	48
ptg000011l	4800000	4900000	9.318	111.9951019	0.42162	0.6348086538930919	42.162	49
ptg000011l	4900000	5000000	12.328	100.0241928	0.42118	0.5199383071600701	42.118	50
ptg000011l	5000000	5100000	10.217	106.4826431	0.41222	0.5819122490822413	41.221999999999994	51
ptg000011l	5100000	5200000	13.323	84.8608704	0.41293	0.37443422830004464	41.293	52
ptg000011l	5200000	5300000	26.371	91.9871826	0.43889	0.44281683370649316	43.889	53
ptg000011l	5300000	5400000	10.695	86.9894714	0.42344	0.39485983949495856	42.344	54
ptg000011l	5400000	5500000	15.893	85.1845779	0.4362	0.3775404579484745	43.62	55
ptg000030l	0	100000	1.312	104.6057816	0.45221	0.563902277619434	45.221000000000004	56
ptg000030l	100000	200000	7.3	98.8123474	0.43941	0.5083096914783407	43.941	57
ptg000030l	200000	300000	4.261	103.8952484	0.44961	0.5570841492410868	44.961	58
ptg000030l	300000	400000	1.995	98.5039291	0.44639	0.5053501738039637	44.639	59
ptg000030l	400000	500000	5.162	110.365181	0.44059	0.6191682729189855	44.059	60
ptg000030l	500000	600000	11.898	95.1789627	0.42389	0.4734444897783749	42.388999999999996	61
ptg000030l	600000	700000	0.902	101.0742569	0.43376	0.5300145032326724	43.376	62
