ptg000011l	0	100000	0.43751
ptg000011l	100000	200000	0.45358
ptg000011l	200000	300000	0.44674
ptg000011l	300000	400000	0.44467
ptg000011l	400000	500000	0.45105
ptg000011l	500000	600000	0.44139
ptg000011l	600000	700000	0.43621
ptg000011l	700000	800000	0.43454
ptg000011l	800000	900000	0.44269
ptg000011l	900000	1000000	0.43379
ptg000011l	1000000	1100000	0.4293
ptg000011l	1100000	1200000	0.42749
ptg000011l	1200000	1300000	0.433
ptg000011l	1300000	1400000	0.4306
ptg000011l	1400000	1500000	0.44345
ptg000011l	1500000	1600000	0.43937
ptg000011l	1600000	1700000	0.43305
ptg000011l	1700000	1800000	0.43993
ptg000011l	1800000	1900000	0.43587
ptg000011l	1900000	2000000	0.43402
ptg000011l	2000000	2100000	0.42999
ptg000011l	2100000	2200000	0.43153
ptg000011l	2200000	2300000	0.43991
ptg000011l	2300000	2400000	0.4159
ptg000011l	2400000	2500000	0.43022
ptg000011l	2500000	2600000	0.42065
ptg000011l	2600000	2700000	0.41729
ptg000011l	2700000	2800000	0.41927
ptg000011l	2800000	2900000	0.42616
ptg000011l	2900000	3000000	0.43369
ptg000011l	3000000	3100000	0.43159
ptg000011l	3100000	3200000	0.39806
ptg000011l	3200000	3300000	0.41242
ptg000011l	3300000	3400000	0.42742
ptg000011l	3400000	3500000	0.42723
ptg000011l	3500000	3600000	0.42808
ptg000011l	3600000	3700000	0.43197
ptg000011l	3700000	3800000	0.41953
ptg000011l	3800000	3900000	0.43175
ptg000011l	3900000	4000000	0.41559
ptg000011l	4000000	4100000	0.45979
ptg000011l	4100000	4200000	0.41413
ptg000011l	4200000	4300000	0.4199
ptg000011l	4300000	4400000	0.42393
ptg000011l	4400000	4500000	0.4221
ptg000011l	4500000	4600000	0.42561
ptg000011l	4600000	4700000	0.43468
ptg000011l	4700000	4800000	0.41991
ptg000011l	4800000	4900000	0.42162
ptg000011l	4900000	5000000	0.42118
ptg000011l	5000000	5100000	0.41222
ptg000011l	5100000	5200000	0.41293
ptg000011l	5200000	5300000	0.43889
ptg000011l	5300000	5400000	0.42344
ptg000011l	5400000	5500000	0.4362
ptg000011l	5500000	5600000	0.46357
ptg000011l	5600000	5654655	0.494063
ptg000030l	0	100000	0.45221
ptg000030l	100000	200000	0.43941
ptg000030l	200000	300000	0.44961
ptg000030l	300000	400000	0.44639
ptg000030l	400000	500000	0.44059
ptg000030l	500000	600000	0.42389
ptg000030l	600000	700000	0.43376
ptg000030l	700000	800000	0.43157
ptg000030l	800000	900000	0.43795
ptg000030l	900000	1000000	0.43079
ptg000030l	1000000	1100000	0.43872
ptg000030l	1100000	1200000	0.42972
ptg000030l	1200000	1300000	0.41611
ptg000030l	1300000	1400000	0.41365
ptg000030l	1400000	1500000	0.41443
ptg000030l	1500000	1600000	0.42513
ptg000030l	1600000	1700000	0.42488
ptg000030l	1700000	1800000	0.42989
ptg000030l	1800000	1900000	0.42886
ptg000030l	1900000	2000000	0.42484
ptg000030l	2000000	2100000	0.42098
ptg000030l	2100000	2200000	0.4095
ptg000030l	2200000	2300000	0.44114
ptg000030l	2300000	2400000	0.42227
ptg000030l	2400000	2500000	0.41965
ptg000030l	2500000	2600000	0.43786
ptg000030l	2600000	2700000	0.42585
ptg000030l	2700000	2800000	0.42615
ptg000030l	2800000	2900000	0.42089
ptg000030l	2900000	3000000	0.41961
ptg000030l	3000000	3100000	0.42853
